Fichier;Périmètre;Octets;Lignes;SHA256;Traitement
".env.example";"Configuration projet";"808";"32";"93123a1d18f0b16d30af064df316503e61c2ee571f846a506fee96b6882e3430";"Lu et rapproché des usages, configurations ou exigences du projet"
".gitattributes";"Configuration projet";"134";"10";"860cc2ccc0285558da416d0197e48ff6d06f1da699ddcd8cda5ad9aea0e01c21";"Lu et rapproché des usages, configurations ou exigences du projet"
".gitignore";"Configuration projet";"338";"31";"683b1c241413ec5ac6b45813c3ea8adc7a2c83e4a84d265a9916d45c3749ac42";"Lu et rapproché des usages, configurations ou exigences du projet"
"README.md";"Configuration projet";"1141";"47";"b4bbfc10f3d1865bf303b7aa63a1502ba71409e06b9b7cc1dc59846f71127278";"Lu et rapproché des usages, configurations ou exigences du projet"
"database/README.md";"Base de données";"1282";"32";"e2e41b6c1f5f1c88b33a8323dc571c92c40cd0d97ace47a813e197b6c8ff5379";"Lu et rapproché des usages, configurations ou exigences du projet"
"database/admin-auth-role.sql";"Base de données";"687";"22";"ed16146da2fd2119fb70c00b0cbad44d006cb79f1c44206f723223d3362d2f76";"Lu et rapproché des usages, configurations ou exigences du projet"
"database/imperfect-products.sql";"Base de données";"440";"12";"fc45bef85d1d50770dca9e451903a6ab9fc746ba09697ad1b18948248537e6d0";"Lu et rapproché des usages, configurations ou exigences du projet"
"database/schema-v1.sql";"Base de données";"9220";"253";"289897080421a391434e5700bdd4a330ea91fa1d29d0c4934440eacb3717a2b6";"Lu et rapproché des usages, configurations ou exigences du projet"
"database/seed-demo-products.sql";"Base de données";"7537";"257";"e0df1e1995bc10d0613671c4b381a8070a80598c9748affd50ce96f9d475873c";"Lu et rapproché des usages, configurations ou exigences du projet"
"database/supabase-prisma-user.sql";"Base de données";"955";"21";"87983308179e17017134d35091747ee1b557fed5a6270d018df3152191099b7d";"Lu et rapproché des usages, configurations ou exigences du projet"
"next-env.d.ts";"Configuration projet";"262";"7";"85ae5aee75f011967cf2d25cbc342f62d69314e9d925f7f4aa3456fc2cffcca6";"Lu et rapproché des usages, configurations ou exigences du projet"
"next.config.ts";"Configuration projet";"1615";"64";"6bfaf70ae1100701a4bff8966e4708a140293d831b638cd8c2960c53d4a39173";"Lu et rapproché des usages, configurations ou exigences du projet"
"outputs/cahier-des-charges-kayart.md";"Cadrage et documentation";"23351";"884";"d7f73df09be4f1c0f5c38823791a96c87a1119359fcc6eb68f7f744f344bd525";"Lu et rapproché des usages, configurations ou exigences du projet"
"outputs/charte-graphique-kayart.md";"Cadrage et documentation";"1359";"41";"718176c0a5dc0db1342d58018f0af70872abd8a583b2ed5110ce590ba94af995";"Lu et rapproché des usages, configurations ou exigences du projet"
"outputs/configuration-supabase-kayart.md";"Cadrage et documentation";"1965";"92";"d78c6c88f446fd6c5607bcd20f9b774c6444f8dc74b255ecc55d93173d894793";"Lu et rapproché des usages, configurations ou exigences du projet"
"outputs/decisions-admin-stock-kayart.md";"Cadrage et documentation";"2944";"63";"53169a0e47ebc067299f50a203794f150a9332335a4d9c472183cd3ee7fddd1f";"Lu et rapproché des usages, configurations ou exigences du projet"
"outputs/decisions-techniques-kayart.md";"Cadrage et documentation";"9284";"448";"43796945b6cd2dc247022ebde666cb7e5277140c0bcc6d905183a82e0ef22377";"Lu et rapproché des usages, configurations ou exigences du projet"
"outputs/feuille-de-route-v1-et-suite.md";"Cadrage et documentation";"7814";"315";"f3938d628cd4266e9ce1f4a62838489671c049feee0930de46310e9dd5b88dc5";"Lu et rapproché des usages, configurations ou exigences du projet"
"outputs/gestion-images-produits-v1.md";"Cadrage et documentation";"1070";"29";"11b743205f4127436a3cc4251701e6fd777e66223de8dff26c9db84f29cdd332";"Lu et rapproché des usages, configurations ou exigences du projet"
"outputs/installation-npm-windows.md";"Cadrage et documentation";"2265";"109";"2d62d783e845a20d570e77d554b9a5c72ac56a68075a03896cb0eff3f270f958";"Lu et rapproché des usages, configurations ou exigences du projet"
"outputs/progression-technique.md";"Cadrage et documentation";"5340";"159";"529c1f4ecd7af1d8e670a101e787e35e02d9484a723a1bc819e304e1cab60b23";"Lu et rapproché des usages, configurations ou exigences du projet"
"package-lock.json";"Configuration projet";"82733";"2372";"421ea306dc0c7a08d5b6e5e4ed50167bc9dbc2757dbedae1505417b0f4cda9ad";"Versions et graphe vérifiés avec npm audit / npm ls"
"package.json";"Configuration projet";"1018";"42";"6dc60d4c1cbe9f4cc9f99b13b7856ce398c93768b42cd6a26a78dae2195a8dfc";"Lu et rapproché des usages, configurations ou exigences du projet"
"prisma.config.ts";"Configuration projet";"1570";"67";"b13522610cb8a661aa63e6ec02f9fd1825edec7a5e5d312511acae4a50e3eba6";"Lu et rapproché des usages, configurations ou exigences du projet"
"prisma/README.md";"Base de données";"3037";"115";"7749996e4c10d1f92037e15c212fc1264ff1488306859aa2b21a450a2c6827eb";"Lu et rapproché des usages, configurations ou exigences du projet"
"prisma/schema.prisma";"Base de données";"13002";"365";"e6a502d8b05fc685012b400affc220d244c988aecf3fcdbe837c28e9ebf937ea";"Lu et rapproché des usages, configurations ou exigences du projet"
"public/icon.svg";"Assets publics";"319";"6";"f43fc581db24d7a97c52c43fdcf04be038ff20187d7adc2b637827bbe97ee3cc";"Lu et rapproché des usages, configurations ou exigences du projet"
"public/sw.js";"Assets publics";"160";"8";"7b410671a1b97c3338d912fa489dc7e6bf6c615af507c05e80209b27b7769e45";"Lu et rapproché des usages, configurations ou exigences du projet"
